year,ent,gap,explained,unexplained
2007,1,0.06602577559485834,-0.113006333445452,0.17903210904031033
2007,2,0.08877443386586936,-0.05951756036988967,0.14829199423575903
2007,3,0.14399498255611842,-0.05776035867990507,0.20175534123602348
2007,4,0.01259580494021506,-0.17169211972005863,0.1842879246602737
2007,5,0.07838580557907271,-0.09743314804065605,0.17581895361972877
2007,6,0.12449964060327456,-0.08511274658631861,0.20961238718959319
2007,7,-0.10669570287922792,-0.3059022868797924,0.19920658400056446
2007,8,0.04103163546313926,-0.102051868642177,0.14308350410531626
2007,9,0.06173389261155293,-0.05574085268443754,0.11747474529599047
2007,10,0.018737675439404633,-0.16279346893634855,0.18153114437575318
2007,11,0.13716728508587206,-0.09422482744346164,0.2313921125293337
2007,12,0.14635338475067616,-0.0476951820549102,0.19404856680558635
2007,13,0.04479959073333539,-0.139650585453756,0.1844501761870914
2007,14,0.16366830952245248,-0.06328286723600977,0.22695117675846227
2007,15,0.05020150057561956,-0.12058468179678045,0.1707861823724
2007,16,0.105017635618327,-0.10710495063120867,0.21212258624953567
2007,17,0.17066710823709474,-0.024409885256011628,0.19507699349310637
2007,18,0.09578938563511752,-0.14425414554978783,0.24004353118490535
2007,19,0.05471946829486729,-0.11467439767540596,0.16939386597027326
2007,20,0.03340224694421323,-0.18488516333179406,0.2182874102760073
2007,21,0.08427355468750974,-0.12755437923146992,0.21182793391897967
2007,22,0.11544430637280456,-0.05191826999794362,0.1673625763707482
2007,23,0.10810003261512335,-0.06082019409746457,0.16892022671258794
2007,24,-0.02340083000998394,-0.210597279514432,0.18719644950444805
2007,25,0.08389807031519414,-0.09660870972423499,0.18050678003942913
2007,26,0.04914155759749139,-0.10366071999509623,0.15280227759258763
2007,27,-0.011585682604819958,-0.14412073616684853,0.13253505356202858
2007,28,0.10338658157523728,-0.09753277002255192,0.2009193515977892
2007,29,0.016617033432820172,-0.18814862934310342,0.2047656627759236
2007,30,0.10135834565064705,-0.0699527908354563,0.17131113648610335
2007,31,0.16546706079949125,-0.0938138782866693,0.25928093908616057
2007,32,0.0023810084461022285,-0.17422060686163254,0.17660161530773477
2008,1,0.042628414692693184,-0.15266340103950643,0.19529181573219961
2008,2,0.11413670884447047,-0.0664103291127373,0.18054703795720778
2008,3,0.14683932130334476,-0.0665076091637324,0.21334693046707714
2008,4,-0.014543901842639428,-0.19281208856992849,0.17826818672728906
2008,5,0.05705811719614129,-0.09005257603072882,0.1471106932268701
2008,6,0.12427946306837345,-0.06432980438526427,0.1886092674536377
2008,7,-0.12892546409035432,-0.31150789488785036,0.18258243079749603
2008,8,0.029339294590850606,-0.1148553043028908,0.14419459889374142
2008,9,0.11219120581377595,-0.06014735291493098,0.17233855872870693
2008,10,0.05578955740643465,-0.1560376416865213,0.21182719909295594
2008,11,0.14507450280990675,-0.06944366462192936,0.2145181674318361
2008,12,0.1846471710689066,-0.029279765860036007,0.2139269369289426
2008,13,0.06679361684302343,-0.15951149344713414,0.22630511029015757
2008,14,0.14131955916167893,-0.08481308098355385,0.22613264014523277
2008,15,0.07979597562632357,-0.10555919022774096,0.18535516585406453
2008,16,0.0774071035274222,-0.12413197274668042,0.2015390762741026
2008,17,0.16791696358126984,-0.0069452462238446585,0.1748622098051145
2008,18,0.030894912621979742,-0.16729300531473804,0.19818791793671778
2008,19,0.09556786005506535,-0.1056409013510351,0.20120876140610044
2008,20,0.09989476780989648,-0.10024351826486293,0.20013828607475942
2008,21,0.10384501378952038,-0.11802262167670408,0.22186763546622446
2008,22,0.12935904180233848,-0.036781991731723876,0.16614103353406234
2008,23,0.13754514695032505,-0.039990067076411805,0.17753521402673686
2008,24,-0.01456550547319413,-0.20617159536958518,0.19160608989639105
2008,25,0.12530676441276523,-0.09013849244812458,0.2154452568608898
2008,26,0.1349308493924477,-0.09858094811044496,0.23351179750289267
2008,27,0.015576645122862054,-0.13288892449424847,0.14846556961711052
2008,28,0.15651445519928409,-0.06406253624345437,0.22057699144273846
2008,29,0.051118212407509134,-0.17146616019047398,0.2225843725979831
2008,30,0.0794927549600084,-0.11164115581557621,0.19113391077558461
2008,31,0.12282495855904152,-0.11323321706786416,0.23605817562690568
2008,32,0.06141300326538435,-0.1057519495569693,0.16716495282235366
2009,1,0.030317191844446256,-0.14814702071972646,0.17846421256417272
2009,2,0.0884005839389852,-0.09385384381629766,0.18225442775528286
2009,3,0.13626002982644803,-0.049195337545492025,0.18545536737194004
2009,4,-0.02978028808461275,-0.20964003320510438,0.17985974512049163
2009,5,0.07144235097535478,-0.10808541013086492,0.1795277611062197
2009,6,0.1302563685846687,-0.06411621932810312,0.19437258791277184
2009,7,-0.11180852154847276,-0.2797905471848621,0.16798202563638936
2009,8,0.005183335576814052,-0.11087438769779787,0.11605772327461192
2009,9,0.04706052828489593,-0.08113080067389333,0.12819132895878926
2009,10,0.015509559398001471,-0.18098953836148235,0.19649909775948382
2009,11,0.14679742312149546,-0.06877484179379911,0.21557226491529458
2009,12,0.17513414756139412,0.006326180959426211,0.1688079666019679
2009,13,0.08779337574021628,-0.14515106495736094,0.23294444069757722
2009,14,0.1512036765268805,-0.06611899903879426,0.21732267556567475
2009,15,0.04656468981229622,-0.09986696003614623,0.14643164984844245
2009,16,0.12073079377356599,-0.10920710593240643,0.22993789970597242
2009,17,0.1525890171335016,-0.01782854661365532,0.1704175637471569
2009,18,0.12183399674745221,-0.11114260913793365,0.23297660588538588
2009,19,0.10783265062107183,-0.1031182327014399,0.21095088332251172
2009,20,0.03894705552355049,-0.1287193548074564,0.16766641033100688
2009,21,0.09460876392880824,-0.13309367076164866,0.2277024346904569
2009,22,0.14332314182904593,-0.023926381445738804,0.16724952327478473
2009,23,0.12681995262464696,-0.07835805246273936,0.20517800508738632
2009,24,-0.020269019459141724,-0.19786269308968593,0.1775936736305442
2009,25,0.010070384753877448,-0.10554800896436987,0.11561839371824732
2009,26,0.05624037906687729,-0.11290569982387584,0.16914607889075312
